Region/Country/Area,Population density and surface area,Year,Series,Value
30,Eastern Asia,2022,Population aged 0 to 14 years old (percentage),16.5
30,Eastern Asia,2022,Population aged 60+ years old (percentage),20.2
30,Eastern Asia,2022,Population density,141.1
30,Eastern Asia,2022,Surface area (thousand km2),"11,560"
30,Eastern Asia,2024,Population mid-year estimates (millions),"1,656.12"
30,Eastern Asia,2024,Population mid-year estimates for males (millions),839.21
30,Eastern Asia,2024,Population mid-year estimates for females (millions),816.90
30,Eastern Asia,2024,Sex ratio (males per 100 females),102.7
30,Eastern Asia,2024,Population aged 0 to 14 years old (percentage),15.5
30,Eastern Asia,2024,Population aged 60+ years old (percentage),22.0
30,Eastern Asia,2024,Population density,140.5
62,South-central Asia,2010,Population mid-year estimates (millions),"1,813.84"
62,South-central Asia,2010,Population mid-year estimates for males (millions),930.48
62,South-central Asia,2010,Population mid-year estimates for females (millions),883.36
62,South-central Asia,2010,Sex ratio (males per 100 females),105.3
62,South-central Asia,2010,Population aged 0 to 14 years old (percentage),32.3
62,South-central Asia,2010,Population aged 60+ years old (percentage),7.2
62,South-central Asia,2010,Population density,175.6
62,South-central Asia,2015,Population mid-year estimates (millions),"1,941.57"
62,South-central Asia,2015,Population mid-year estimates for males (millions),994.23
62,South-central Asia,2015,Population mid-year estimates for females (millions),947.34
62,South-central Asia,2015,Sex ratio (males per 100 females),104.9
62,South-central Asia,2015,Population aged 0 to 14 years old (percentage),30.3
62,South-central Asia,2015,Population aged 60+ years old (percentage),8.2
62,South-central Asia,2015,Population density,187.9
62,South-central Asia,2022,Population mid-year estimates (millions),"2,101.81"
62,South-central Asia,2022,Population mid-year estimates for males (millions),"1,074.49"
62,South-central Asia,2022,Population mid-year estimates for females (millions),"1,027.32"
62,South-central Asia,2022,Sex ratio (males per 100 females),104.6
62,South-central Asia,2022,Population aged 0 to 14 years old (percentage),27.6
62,South-central Asia,2022,Population aged 60+ years old (percentage),9.7
62,South-central Asia,2022,Population density,203.5
62,South-central Asia,2022,Surface area (thousand km2),"10,327"
62,South-central Asia,2024,Population mid-year estimates (millions),"2,146.28"
62,South-central Asia,2024,Population mid-year estimates for males (millions),"1,096.10"
62,South-central Asia,2024,Population mid-year estimates for females (millions),"1,050.18"
62,South-central Asia,2024,Sex ratio (males per 100 females),104.4
62,South-central Asia,2024,Population aged 0 to 14 years old (percentage),26.9
62,South-central Asia,2024,Population aged 60+ years old (percentage),10.2
62,South-central Asia,2024,Population density,207.8
35,South-eastern Asia,2010,Population mid-year estimates (millions),603.75
35,South-eastern Asia,2010,Population mid-year estimates for males (millions),301.38
35,South-eastern Asia,2010,Population mid-year estimates for females (millions),302.37
35,South-eastern Asia,2010,Sex ratio (males per 100 females),99.7
35,South-eastern Asia,2010,Population aged 0 to 14 years old (percentage),27.9
35,South-eastern Asia,2010,Population aged 60+ years old (percentage),8.4
35,South-eastern Asia,2010,Population density,135.7
35,South-eastern Asia,2015,Population mid-year estimates (millions),642.38
35,South-eastern Asia,2015,Population mid-year estimates for males (millions),320.96
35,South-eastern Asia,2015,Population mid-year estimates for females (millions),321.42
35,South-eastern Asia,2015,Sex ratio (males per 100 females),99.9
35,South-eastern Asia,2015,Population aged 0 to 14 years old (percentage),26.6
35,South-eastern Asia,2015,Population aged 60+ years old (percentage),9.4
35,South-eastern Asia,2015,Population density,144.3
35,South-eastern Asia,2022,Population mid-year estimates (millions),684.90
35,South-eastern Asia,2022,Population mid-year estimates for males (millions),341.80
35,South-eastern Asia,2022,Population mid-year estimates for females (millions),343.10
35,South-eastern Asia,2022,Sex ratio (males per 100 females),99.6
35,South-eastern Asia,2022,Population aged 0 to 14 years old (percentage),24.7
35,South-eastern Asia,2022,Population aged 60+ years old (percentage),11.6
35,South-eastern Asia,2022,Population density,153.9
35,South-eastern Asia,2022,Surface area (thousand km2),"4,341"
35,South-eastern Asia,2024,Population mid-year estimates (millions),695.15
35,South-eastern Asia,2024,Population mid-year estimates for males (millions),346.81
35,South-eastern Asia,2024,Population mid-year estimates for females (millions),348.34
35,South-eastern Asia,2024,Sex ratio (males per 100 females),99.6
35,South-eastern Asia,2024,Population aged 0 to 14 years old (percentage),23.9
35,South-eastern Asia,2024,Population aged 60+ years old (percentage),12.4
35,South-eastern Asia,2024,Population density,156.2
34,Southern Asia,2010,Population mid-year estimates (millions),"1,749.91"
34,Southern Asia,2010,Population mid-year estimates for males (millions),899.02
34,Southern Asia,2010,Population mid-year estimates for females (millions),850.89
34,Southern Asia,2010,Sex ratio (males per 100 females),105.7
34,Southern Asia,2010,Population aged 0 to 14 years old (percentage),32.4
34,Southern Asia,2010,Population aged 60+ years old (percentage),7.2
34,Southern Asia,2010,Population density,273.4
34,Southern Asia,2015,Population mid-year estimates (millions),"1,871.87"
34,Southern Asia,2015,Population mid-year estimates for males (millions),959.84
34,Southern Asia,2015,Population mid-year estimates for females (millions),912.04
34,Southern Asia,2015,Sex ratio (males per 100 females),105.2
34,Southern Asia,2015,Population aged 0 to 14 years old (percentage),30.3
34,Southern Asia,2015,Population aged 60+ years old (percentage),8.2
34,Southern Asia,2015,Population density,292.4
34,Southern Asia,2024,Population mid-year estimates (millions),"2,064.06"
34,Southern Asia,2024,Population mid-year estimates for males (millions),"1,055.29"
34,Southern Asia,2024,Population mid-year estimates for females (millions),"1,008.76"
34,Southern Asia,2024,Sex ratio (males per 100 females),104.6
34,Southern Asia,2024,Population aged 0 to 14 years old (percentage),26.7
34,Southern Asia,2024,Population aged 60+ years old (percentage),10.2
34,Southern Asia,2024,Population density,322.5
145,Western Asia,2010,Population mid-year estimates (millions),235.14
145,Western Asia,2010,Population mid-year estimates for males (millions),122.52
145,Western Asia,2010,Population mid-year estimates for females (millions),112.62
145,Western Asia,2010,Sex ratio (males per 100 females),108.8
145,Western Asia,2010,Population aged 0 to 14 years old (percentage),31.0
145,Western Asia,2010,Population aged 60+ years old (percentage),7.2
145,Western Asia,2010,Population density,49.1
145,Western Asia,2015,Population mid-year estimates (millions),264.90
145,Western Asia,2015,Population mid-year estimates for males (millions),139.40
145,Western Asia,2015,Population mid-year estimates for females (millions),125.50
145,Western Asia,2015,Sex ratio (males per 100 females),111.1
145,Western Asia,2015,Population aged 0 to 14 years old (percentage),30.0
145,Western Asia,2015,Population aged 60+ years old (percentage),7.7
145,Western Asia,2015,Population density,55.3
145,Western Asia,2022,Population mid-year estimates (millions),297.69
145,Western Asia,2022,Population mid-year estimates for males (millions),155.61
145,Western Asia,2022,Population mid-year estimates for females (millions),142.08
145,Western Asia,2022,Sex ratio (males per 100 females),109.5
145,Western Asia,2022,Population aged 0 to 14 years old (percentage),28.5
145,Western Asia,2022,Population aged 60+ years old (percentage),8.9
145,Western Asia,2022,Population density,62.1
145,Western Asia,2022,Surface area (thousand km2),"4,805"
145,Western Asia,2024,Population mid-year estimates (millions),309.35
145,Western Asia,2024,Population mid-year estimates for males (millions),161.84
145,Western Asia,2024,Population mid-year estimates for females (millions),147.51
145,Western Asia,2024,Sex ratio (males per 100 females),109.7
145,Western Asia,2024,Population aged 0 to 14 years old (percentage),27.8
145,Western Asia,2024,Population aged 60+ years old (percentage),9.3
145,Western Asia,2024,Population density,64.6
150,Europe,2010,Population mid-year estimates (millions),738.15
150,Europe,2010,Population mid-year estimates for males (millions),354.58
150,Europe,2010,Population mid-year estimates for females (millions),383.56
150,Europe,2010,Sex ratio (males per 100 females),92.4
150,Europe,2010,Population aged 0 to 14 years old (percentage),15.6
150,Europe,2010,Population aged 60+ years old (percentage),21.9
150,Europe,2010,Population density,33.4
150,Europe,2015,Population mid-year estimates (millions),744.24
150,Europe,2015,Population mid-year estimates for males (millions),358.41
150,Europe,2015,Population mid-year estimates for females (millions),385.83
150,Europe,2015,Sex ratio (males per 100 females),92.9
150,Europe,2015,Population aged 0 to 14 years old (percentage),15.8
150,Europe,2015,Population aged 60+ years old (percentage),23.7
150,Europe,2015,Population density,33.7
150,Europe,2022,Population mid-year estimates (millions),746.96
150,Europe,2022,Population mid-year estimates for males (millions),360.72
150,Europe,2022,Population mid-year estimates for females (millions),386.24
150,Europe,2022,Sex ratio (males per 100 females),93.4
150,Europe,2022,Population aged 0 to 14 years old (percentage),15.7
150,Europe,2022,Population aged 60+ years old (percentage),26.4
150,Europe,2022,Population density,33.8
150,Europe,2022,Surface area (thousand km2),"22,135"
150,Europe,2024,Population mid-year estimates (millions),745.08
150,Europe,2024,Population mid-year estimates for males (millions),359.88
150,Europe,2024,Population mid-year estimates for females (millions),385.20
150,Europe,2024,Sex ratio (males per 100 females),93.4
150,Europe,2024,Population aged 0 to 14 years old (percentage),15.3
150,Europe,2024,Population aged 60+ years old (percentage),27.3
150,Europe,2024,Population density,33.7
151,Eastern Europe,2010,Population mid-year estimates (millions),295.31
151,Eastern Europe,2010,Population mid-year estimates for males (millions),138.59
151,Eastern Europe,2010,Population mid-year estimates for females (millions),156.72
151,Eastern Europe,2010,Sex ratio (males per 100 females),88.4
151,Eastern Europe,2010,Population aged 0 to 14 years old (percentage),15.0
151,Eastern Europe,2010,Population aged 60+ years old (percentage),19.2
151,Eastern Europe,2010,Population density,16.4
151,Eastern Europe,2015,Population mid-year estimates (millions),294.97
151,Eastern Europe,2015,Population mid-year estimates for males (millions),138.79
